Oferta od,Kategoria,Pokaż oferty z numerem VIN,Ma numer rejestracyjny,Marka pojazdu,Model pojazdu,Wersja,Generacja,Rok produkcji,Przebieg,Pojemność skokowa,Rodzaj paliwa,Moc,Skrzynia biegów,Autonomia,Napęd,Pojemność baterii,Rodzaj własności baterii,Emisja CO2,Filtr cząstek stałych,Spalanie W Mieście,Typ nadwozia,Liczba drzwi,Liczba miejsc,Kolor,Metalik,Rodzaj koloru,Kierownica po prawej (Anglik),Kraj pochodzenia,Leasing,VAT marża,Faktura VAT,Okres gwarancji producenta,Możliwość finansowania,Pierwsza rejestracja,Zarejestrowany w Polsce,Pierwszy właściciel,Bezwypadkowy,Serwisowany w ASO,Stan,ABS,Apple CarPlay,Android Auto,Boczne poduszki powietrzne - tył,Boczna poduszka powietrzna kierowcy,CD,Centralny zamek,Elektryczne szyby przednie,Elektrycznie ustawiany fotel pasażera,Elektrycznie ustawiane lusterka,Immobilizer,Poduszka powietrzna kierowcy,Poduszka powietrzna pasażera,Radio fabryczne,Wspomaganie kierownicy,Alarm,Alufelgi,ASR (kontrola trakcji),Alarm ruchu poprzecznego z tyłu pojazdu,Asystent parkowania,Asystent hamowania awaryjnego w mieście,Asystent hamowania - Brake Assist,Aktywny asystent zmiany pasa ruchu,Asystent jazdy w korku,Aktywne rozpoznawanie znaków ograniczenia prędkości,Asystent (czujnik) martwego pola,Asystent świateł drogowych,Asystent zapobiegania kolizjom na skrzyzowaniu,Asystent pasa ruchu,Automatyczna kontrola zjazdu ze stoku,Boczne poduszki powietrzne - przód,Cyfrowy kluczyk,Czujnik deszczu,Czujnik martwego pola,Czujnik zmierzchu,Czujniki parkowania przednie,Czujniki parkowania tylne,Dach panoramiczny,Dach otwierany elektrycznie,Dostęp do internetu,Dynamiczne światła doświetlające zakręty,Dźwignia zmiany biegów wykończona skórą,Ekran dotykowy,Elektrochromatyczne lusterka boczne,Elektrochromatyczne lusterko wsteczne,Elektryczne szyby tylne,Elektrycznie ustawiane fotele,Elektryczny hamulec postojowy,Elektroniczny system rozdziału siły hamowania,Elektroniczna kontrola ciśnienia w oponach,Elektroniczna regul. charakterystyki zawieszenia,Elektrycznie ustawiany fotel kierowcy,ESP,Felgi aluminiowe od 21,Felgi aluminiowe 19,Fotele przednie wentylowane,Fotele przednie z funkcje masażu,Funkcja szybkiego ładowania,Gniazdo AUX,Gniazdo SD,Gniazdo USB,Hak,Hamulce z kompozytów ceramicznych,HUD (wyświetlacz przezierny),Interfejs Bluetooth,Isofix,Kabel do ładowania,Kamera panoramiczna 360,Kamera cofania,Kamera parkowania tył,Kamera w lusterku bocznym,Kierownica ze sterowaniem radia,Kierownica skórzana,Kierownica wielofunkcyjna,Kierownica sportowa,Kierownica ogrzewana,Klimatyzacja automatyczna,Klimatyzacja czterostrefowa,Klimatyzacja automatyczna: 3 strefowa,Klimatyzacja dwustrefowa,"Klimatyzacja automatyczna, dwustrefowa",Klimatyzacja automatyczna: 4 lub wiêcej strefowa,Klimatyzacja manualna,Klimatyzacja dla pasażerów z tyłu,Komputer pokładowy,Kontrola trakcji,Kontrola odległości od poprzedzającego pojazdu,Kontrola odległości z tyłu (przy parkowaniu),Kontrola odległości z przodu (przy parkowaniu),Kurtyny powietrzne - przód,Kurtyny powietrzne - tył,Keyless Go,Keyless entry,Lane assist - kontrola zmiany pasa ruchu,Lampy tylne w technologii LED,Lampy przednie w technologii LED,Lampy bi-ksenonowe,Lampy ksenonowe,Lampy doświetlające zakręt,Lampy przeciwmgielne,Lampy przeciwmgielne w technologii LED,Lusterka boczne ustawiane elektrycznie,Lusterka boczne składane elektrycznie,Ładowanie bezprzewodowe urządzeń,Łopatki zmiany biegów,MP3,Nawigacja GPS,Niezależny system parkowania,Odtwarzacz DVD,Ogranicznik prędkości,Ogrzewanie postojowe,Ogrzewane siedzenia tylne,Opony runflat,Opony letnie,Opony wielosezonowe,Oświetlenie drogi do domu,Oświetlenie wnętrza LED,Oświetlenie adaptacyjne,Park Assistant - asystent parkowania,Podgrzewana przednia szyba,Podgrzewane lusterka boczne,Podgrzewane przednie siedzenia,Podgrzewane tylne siedzenia,Podłokietniki - przód,Podłokietniki - tył,Poduszka powietrzna chroniąca kolana,Poduszki boczne przednie,Poduszki boczne tylne,Poduszka powietrzna centralna,Poduszka kolan kierowcy,Poduszka kolan pasażera,Poduszka powietrzna pasów bezpieczeństwa zm tyłu,Podgrzewany fotel pasażera,Przyciemniane szyby,Przyciemniane tylne szyby,Radio niefabryczne,Radio,Regulowane zawieszenie,Regul. elektr. podparcia lędźwiowego - kierowca,Regul. elektr. podparcia lędźwiowego - pasażer,Relingi dachowe,Rolety na bocznych szybach opuszczane ręcznie,Siedzenie z pamięcią ustawienia,Sportowe fotele - przód,Spryskiwacze reflektorów,Sterowanie funkcjami pojazdu za pomocą głosu,System minimalizujący skutki kolizji,System wspomagania hamowania,System ostrzegający o możliwej kolizji,System rekomendacji przerw podczas trasy,System powiadamiania o wypadku,System Start/Stop,System nawigacji satelitarnej,System odzyskiwania energii,System nagłośnienia,System hamowania awaryjnego dla ochrony pieszych,System rozpoznawania znaków drogowych,Szyberdach,Szyberdach szklany - przesuwny i uchylny elektrycz,Światła do jazdy dziennej,Światła LED,Światła do jazdy dziennej diodowe LED,Światła przeciwmgielne,Światła Xenonowe,Tapicerka skórzana,Tapicerka Alcantara,Tapicerka welurowa,Tempomat,Tempomat aktywny,Tempomat adaptacyjny ACC,Tuner TV,Uruchamianie silnika bez użycia kluczyków,Wielofunkcyjna kierownica,Wycieraczki,Wspomaganie ruszania pod górę- Hill Holder,Wyświetlacz typu Head-Up,Zmieniarka CD,Zawieszenie sportowe,Zawieszenie komfortowe,Zawieszenie powietrzne,Zawieszenie regulowane,Zewnętrzne oklejenie,Zestaw głośnomówiący,Zmiana biegów w kierownicy,Cena,Szczegóły ceny,Waluta
Prywatne,,Tak,Tak,BMW-ALPINA,B3,Biturbo Switch-Tronic,,2008,54 000 km,2 979 cm3,Benzyna,360 KM,Automatyczna,,Na tylne koła,,,232 g/km,,14 l/100km,Coupe,4,5,Niebieski,,,,Japonia,,,,,,,Tak,,Tak,Tak,Używane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,169900,,PLN
Firma,,Tak,,BMW-ALPINA,B5,,,2022,5 km,4 395 cm3,Benzyna,621 KM,Automatyczna,,4x4 (dołączany automatycznie),,,,1.0,,Sedan,4,5,Czarny,,Metalik,,Polska,Tak,,Tak,,Tak,,,,Tak,,Nowe,1.0,1.0,1.0,1.0,,,,1.0,1.0,,,1.0,,,,,,,,,1.0,,,,,,,,1.0,,1.0,1.0,1.0,,,,,,,1.0,,1.0,1.0,,,1.0,,,1.0,,1.0,1.0,1.0,,,1.0,1.0,,,,1.0,,,,1.0,,,,,,,1.0,1.0,1.0,1.0,1.0,,,,,,1.0,,1.0,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,1.0,,,,,,,,1.0,,1.0,,,,,,,,,,1.0,1.0,,,,,1.0,,,1.0,,1.0,,1.0,,1.0,1.0,,,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,1.0,,1.0,,1.0,,1.0,1.0,,1.0,,1.0,1.0,859900,,PLN
Prywatne,,Tak,,BMW-ALPINA,B10,,,1997,265 000 km,4 619 cm3,Benzyna,347 KM,Automatyczna,,Na tylne koła,,,,,,Sedan,4,5,Niebieski,,Metalik,,Niemcy,,,,,,,,,Tak,Tak,Używane,1.0,,,,,,,,1.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,1.0,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,1.0,,,,,,,,,,,,,,,,1.0,,1.0,,,1.0,1.0,,,,,,,,1.0,,,,1.0,,1.0,1.0,,1.0,1.0,,1.0,,,,,,,,1.0,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,1.0,,,,,,1.0,79999,,PLN
Firma,,Tak,,BMW-ALPINA,XB7,,,2021,21 000 km,4 395 cm3,Benzyna,621 KM,Automatyczna,,4x4 (stały),,,,,,SUV,5,7,Złoty,,Metalik,,Polska,Tak,,Tak,,Tak,,Tak,,Tak,Tak,Używane,1.0,1.0,1.0,1.0,,,,1.0,1.0,,,1.0,1.0,,1.0,,,,,,1.0,1.0,1.0,,1.0,1.0,1.0,,1.0,1.0,1.0,,1.0,,1.0,,,,1.0,1.0,1.0,,1.0,,,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,,,,1.0,,,,1.0,,,1.0,,1.0,,1.0,1.0,1.0,,1.0,,,,,,1.0,,,,1.0,,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,,,,1.0,,,1.0,1.0,1.0,,,,1.0,,1.0,1.0,1.0,,,,1.0,1.0,1.0,1.0,,1.0,,,1.0,1.0,,,,,1.0,,,1.0,,1.0,,1.0,,1.0,1.0,,,1.0,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,,1.0,1.0,,1.0,,,1.0,,,,,1.0,,1.0,,,1.0,1.0,,,,,1.0,,1.0,1.0,1099900,,PLN
Firma,,Tak,Tak,BMW-ALPINA,B4,,,2018,41 600 km,2 979 cm3,Benzyna,435 KM,Automatyczna,,4x4 (stały),,,,,,Coupe,3,4,Biały,,Perłowy,,Polska,,Tak,,,,,Tak,,,Tak,Używane,1.0,,,,,,,1.0,1.0,,,1.0,1.0,,1.0,,,,,,,1.0,1.0,,,1.0,,,,,,,1.0,,1.0,,,,,1.0,,,,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,1.0,,,,1.0,,,,,1.0,,1.0,1.0,1.0,1.0,,,,,,1.0,,,,,1.0,1.0,1.0,,,,,,,1.0,,,,1.0,1.0,1.0,1.0,1.0,,,,,,,1.0,,,1.0,1.0,,,1.0,1.0,1.0,,1.0,,,1.0,1.0,,,,,1.0,,,1.0,,,,1.0,,1.0,1.0,,,1.0,1.0,1.0,,1.0,1.0,,,,1.0,1.0,,1.0,,,,,1.0,,1.0,,,1.0,,,,,,,,,1.0,,1.0,,1.0,,,1.0,,1.0,1.0,147000,,PLN
Prywatne,,Tak,Tak,BMW-ALPINA,B7,Bi-Turbo Switch-Tronic Allrad Langversion,,2012,132 800 km,4 395 cm3,Benzyna,540 KM,Automatyczna,,4x4 (stały),,,242 g/km,,"14,30 l/100km",Sedan,4,5,Niebieski,,,,,,,,,,,Tak,,,Tak,Używane,,,,,,,,,1.0,,,,,,,,,,,,,1.0,1.0,,,1.0,,,1.0,1.0,,,1.0,,1.0,,,,1.0,,,,,,,,,1.0,,1.0,,1.0,1.0,,,1.0,1.0,,,,,,,,1.0,,,1.0,,1.0,,1.0,1.0,1.0,1.0,1.0,,,,,,1.0,,,,1.0,1.0,1.0,1.0,,,,,1.0,1.0,,,,,1.0,,1.0,1.0,1.0,,,,,,1.0,,1.0,,,,1.0,1.0,,1.0,,1.0,,,1.0,1.0,,,,,1.0,1.0,,1.0,,,,,,1.0,1.0,,,1.0,,1.0,1.0,,,1.0,1.0,,1.0,1.0,,1.0,,,,1.0,1.0,,1.0,,,,,,,,,,,,,,1.0,,,,,,,1.0,1.0,124900,,PLN
Firma,,Tak,,BMW-ALPINA,B7,,,2019,77 000 km,4 395 cm3,Benzyna,608 KM,Automatyczna,,4x4 (dołączany automatycznie),,,,,"15,90 l/100km",Sedan,4,4,Czarny,,Metalik,,Polska,Tak,,Tak,,Tak,,Tak,,Tak,Tak,Używane,1.0,,,,,,,1.0,,,,1.0,1.0,,1.0,,,,,,,,,,,1.0,,,1.0,,,,1.0,,1.0,,,,,,,,,,,1.0,,1.0,,1.0,,1.0,1.0,,,1.0,1.0,,,,1.0,,,,1.0,,,,,1.0,,,1.0,1.0,,1.0,,,,,,1.0,,,,,,1.0,1.0,,,,,1.0,,,,,,1.0,,1.0,,,,,,,,,,1.0,,,,,,1.0,,,1.0,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,1.0,,,1.0,1.0,,,,1.0,,,1.0,,1.0,,,1.0,,,,,,,,,,,1.0,,,,,1.0,,1.0,1.0,519900,,PLN
Firma,,Tak,Tak,BMW-ALPINA,B7,,,2018,76 567 km,4 395 cm3,Benzyna,608 KM,Automatyczna,,4x4 (dołączany automatycznie),,,,,"15,90 l/100km",Sedan,4,5,Czarny,,Metalik,,Polska,Tak,,Tak,,Tak,,Tak,,Tak,Tak,Używane,1.0,1.0,1.0,1.0,1.0,,,1.0,1.0,,,1.0,1.0,,1.0,,,,,,,1.0,1.0,,1.0,1.0,1.0,,1.0,1.0,1.0,,1.0,,1.0,,,,,1.0,1.0,,1.0,,,1.0,,1.0,1.0,,1.0,1.0,1.0,,,1.0,1.0,,,,1.0,,,,1.0,,,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,1.0,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,1.0,1.0,1.0,1.0,,,,,,,,1.0,1.0,,,,1.0,1.0,1.0,,,1.0,,,1.0,1.0,,,,1.0,1.0,1.0,,1.0,,,,1.0,,1.0,1.0,,,1.0,1.0,1.0,,,,1.0,,,1.0,1.0,,1.0,,1.0,,1.0,1.0,,1.0,,,1.0,,,,,,,,,,1.0,1.0,,,,1.0,,,1.0,1.0,629900,,PLN
Firma,,Tak,,BMW-ALPINA,B5,,,2022,5 km,4 395 cm3,Benzyna,621 KM,Automatyczna,,4x4 (stały),,,,1.0,"15,90 l/100km",Sedan,5,5,Niebieski,,Metalik,,,Tak,,Tak,,Tak,,,,Tak,,Nowe,1.0,,,,,,,,1.0,,,1.0,1.0,,1.0,,,,,,1.0,,,1.0,,,,,,,1.0,1.0,1.0,,1.0,,,,,1.0,,,,,,,,1.0,,,1.0,1.0,1.0,,,,,,,,1.0,,,,1.0,,,,,1.0,,,1.0,1.0,1.0,,,,,,,1.0,,,,1.0,1.0,,,1.0,1.0,,,,,1.0,,,,,,,1.0,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,,,,1.0,,1.0,1.0,,,1.0,,,,,1.0,1.0,,1.0,,1.0,,1.0,1.0,1.0,,,,,1.0,,,1.0,,,1.0,,,,,,,,,,1.0,,,,,1.0,,749000,,PLN
Prywatne,,Tak,Tak,BMW-ALPINA,B6,Biturbo Gran Coupe Switch-Tronic,,2016,20 000 km,4 395 cm3,Benzyna,600 KM,Automatyczna,,4x4 (stały),,,,,"14,30 l/100km",Coupe,4,5,Czarny,,Metalik,,Niemcy,,,,,,,Tak,,Tak,Tak,Używane,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,1.0,,,1.0,1.0,,,,,,,1.0,,,,,,,,,1.0,,,1.0,1.0,,,,,,,,,,,,1.0,,,,,1.0,,,1.0,1.0,1.0,1.0,,,,,,1.0,,,,,,1.0,1.0,,,,,1.0,1.0,1.0,,,,,1.0,1.0,,1.0,,,,,,,,1.0,,,,,,,,,1.0,,,1.0,1.0,,,,,,,,1.0,,,,,,1.0,1.0,,,1.0,,1.0,,,1.0,1.0,,,1.0,1.0,,1.0,1.0,,,,,,1.0,,,1.0,,,,,1.0,,,,,,1.0,,,,,,,,,249000,,PLN
Firma,,Tak,,BMW-ALPINA,XB7,Standard,,2022,890 km,4 395 cm3,Benzyna,621 KM,Automatyczna,,,,,,1.0,16 l/100km,SUV,5,7,Niebieski,,,,Polska,,,Tak,,Tak,,Tak,,Tak,Tak,Używane,,,1.0,,,,,,1.0,,,1.0,1.0,,,,,,1.0,,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,,1.0,1.0,,,,,,,,1.0,1.0,,1.0,,,,,,,,1.0,1.0,1.0,1.0,,,,,,,1.0,,,,1.0,,,,,1.0,,,1.0,1.0,1.0,1.0,,,,,,1.0,,,,1.0,1.0,,,1.0,,1.0,,,,1.0,,,1.0,,,,1.0,1.0,,,,1.0,,,,1.0,1.0,,,,,1.0,1.0,,1.0,,,,,,,,,1.0,1.0,,1.0,,,,1.0,,1.0,1.0,,,1.0,,,1.0,,,1.0,,1.0,1.0,1.0,,1.0,,1.0,,1.0,,,1.0,,,1.0,,,,,1.0,,,,,,1.0,,1.0,,1.0,,,,,1188000,,PLN
Firma,,Tak,Tak,BMW-ALPINA,B3,,,2002,332 128 km,3 300 cm3,Benzyna,280 KM,Automatyczna,,,,,,,,Kombi,5,5,Granatowy,,Metalik,,,,,,,,,,,,,Używane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44444,,PLN
Firma,,Tak,Tak,BMW-ALPINA,B7,,,2004,117 661 km,4 398 cm3,Benzyna,500 KM,Automatyczna,,Na tylne koła,,,,,,Sedan,4,5,Czarny,,Metalik,,,,,,,,,,,,,Używane,1.0,,,,,,,1.0,1.0,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,1.0,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,1.0,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,119999,,PLN
Prywatne,,Tak,Tak,BMW-ALPINA,B5,Biturbo Switch-Tronic,,2007,199 000 km,4 395 cm3,Benzyna,507 KM,Automatyczna,,Na tylne koła,,,,,"15,80 l/100km",Sedan,4,5,Czarny,,Metalik,,,,,,,,,Tak,,Tak,,Używane,1.0,,1.0,,,,,1.0,1.0,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,1.0,,,1.0,,,1.0,,,,1.0,,1.0,1.0,,,1.0,,,,,,,,,1.0,,,,,1.0,,1.0,1.0,1.0,1.0,,,,,,1.0,,,,,1.0,,,,1.0,1.0,1.0,,,,,,,,1.0,,1.0,1.0,,,,,,,,,,1.0,,,,,,,,1.0,,,1.0,1.0,,,,,1.0,,,1.0,,1.0,,,,1.0,1.0,,1.0,1.0,,1.0,,,,,,,,1.0,,1.0,,,,1.0,1.0,,,,,1.0,,,,,,,,,1.0,,,,,,,,,1.0,1.0,118000,,PLN
Firma,,Tak,,BMW-ALPINA,B7,Biturbo,,2017,37 500 km,4 395 cm3,Benzyna,608 KM,Automatyczna,,,,,,,"15,90 l/100km",Sedan,4,,Szary,,,,,,,,,,,,,,,Używane,1.0,,,,,,,1.0,1.0,,,,1.0,,1.0,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,1.0,1.0,,,,,,,,1.0,,,,1.0,,,,,1.0,1.0,,,,,,,,,,,1.0,,,,1.0,,1.0,,,,,,1.0,,,,1.0,,1.0,,1.0,,,,,,,,1.0,1.0,1.0,,,,,,,,1.0,1.0,,,,,,,,,1.0,,,1.0,,1.0,,1.0,,,,,,,,,,,,,,,1.0,1.0,,,,,,,1.0,,,,,1.0,,,,,1.0,,,,,,,,,,,1.0,,,,399999,,PLN
Prywatne,,Tak,,BMW-ALPINA,XB7,Biturbo,,2021,9 700 km,4 395 cm3,Benzyna,621 KM,Automatyczna,,4x4 (dołączany automatycznie),,,,,16 l/100km,SUV,5,7,Niebieski,,Metalik,,,,,,,,,Tak,,,Tak,Używane,1.0,1.0,1.0,1.0,1.0,,,1.0,1.0,,,1.0,1.0,,1.0,,,,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,,1.0,,,1.0,1.0,1.0,1.0,,1.0,,,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,,,,1.0,,,,1.0,,,1.0,,1.0,1.0,1.0,1.0,,,1.0,,,,,,1.0,,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,1.0,,1.0,1.0,1.0,1.0,,,,1.0,,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,1.0,,,,1.0,1.0,1.0,,1.0,,1.0,,1.0,,1.0,,,,1.0,,,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,,1.0,,,1.0,,,,,,,1.0,,1.0,1.0,1.0,,,1.0,1.0,1.0,,1.0,1.0,933000,,PLN
Firma,,Tak,,BMW-ALPINA,B3,Biturbo Cabrio Switch-Tronic,,2008,165 000 km,2 979 cm3,Benzyna,360 KM,Automatyczna,,Na tylne koła,,,237 g/km,,"14,20 l/100km",Kabriolet,2,4,Biały,,,,Niemcy,,Tak,,,Tak,,Tak,,,,Używane,1.0,,,,1.0,,,1.0,1.0,,,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,1.0,,,,,,,1.0,,,,,,1.0,1.0,,1.0,,,,,,,,,,1.0,,,,,,,1.0,1.0,1.0,1.0,,,,,,1.0,,,,,1.0,,1.0,1.0,,,,,,,,,1.0,,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,1.0,1.0,1.0,,,,,,,,1.0,,1.0,,,,,1.0,,,,,1.0,,,1.0,,,,,,,,,,1.0,,,,,1.0,1.0,119900,,PLN
Prywatne,,Tak,Tak,BMW-ALPINA,D3,,,2011,198 868 km,1 995 cm3,Diesel,258 KM,Manualna,,,,,,,,Sedan,4,5,Biały,,,,,,,,,,,,,,,Używane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125000,,PLN
Prywatne,,Tak,,BMW-ALPINA,B10,,,2002,95 800 km,4 837 cm3,Benzyna,375 KM,Automatyczna,,Na tylne koła,,,,,,Sedan,4,5,Biały,,,,Japonia,,,,,,,Tak,,Tak,,Używane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,239000,,PLN
Prywatne,,Tak,Tak,BMW-ALPINA,D3,Bi-Turbo Switch-Tronic,,2009,151 000 km,1 995 cm3,Diesel,214 KM,Automatyczna,,Na tylne koła,,,159 g/km,,"8,20 l/100km",Sedan,4,5,Biały,,Metalik,,Japonia,,,,,,,Tak,,Tak,,Używane,1.0,,,1.0,1.0,,,1.0,1.0,,,1.0,1.0,,1.0,,,,,,,,,,,,,,,,1.0,,1.0,,1.0,,,,1.0,,,,1.0,,,1.0,,,1.0,1.0,,1.0,1.0,,,,,,,,1.0,,,,1.0,,,,,,,1.0,1.0,1.0,1.0,,,,,,1.0,,,,,1.0,,,,1.0,1.0,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,1.0,,,1.0,1.0,,,,1.0,1.0,1.0,,1.0,,1.0,,1.0,,1.0,1.0,,,,,1.0,,,,,,,,,,1.0,,,,1.0,1.0,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,1.0,82900,,PLN
Prywatne,,Tak,Tak,BMW-ALPINA,B3,S Biturbo Allrad Touring Switch-Tronic,,2011,268 737 km,2 979 cm3,Benzyna,400 KM,Automatyczna,,4x4 (stały),,,234 g/km,,"14,20 l/100km",Kombi,5,5,Zielony,,Perłowy,,Niemcy,,,,,,,Tak,,Tak,Tak,Używane,1.0,,,,,,,1.0,1.0,,,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,1.0,1.0,,1.0,,,1.0,1.0,,,1.0,,,,1.0,,,1.0,1.0,,1.0,1.0,,1.0,,,,,,,1.0,,,,,,,,,,1.0,1.0,1.0,1.0,,,,,,1.0,,,,,1.0,,1.0,1.0,1.0,,1.0,,,1.0,,1.0,,1.0,1.0,,1.0,1.0,,,,,,,1.0,1.0,,,1.0,,1.0,,,,,1.0,,,1.0,1.0,,,,,,,,,,,,1.0,,1.0,1.0,,,1.0,1.0,1.0,,,1.0,,,,,1.0,,1.0,,,,,1.0,,,,,1.0,,,,,,,,,1.0,,,,1.0,,,,,1.0,1.0,110000,,PLN
Firma,,Tak,Tak,BMW-ALPINA,B7,,,2017,90 800 km,4 395 cm3,Benzyna,607 KM,Automatyczna,,4x4 (dołączany automatycznie),,,,,,Sedan,4,5,Czarny,,Metalik,,Polska,,,,,,,Tak,,Tak,Tak,Używane,1.0,1.0,1.0,1.0,,,,1.0,1.0,,,1.0,1.0,,,,,,,,,1.0,1.0,,,1.0,1.0,,1.0,,1.0,,1.0,,1.0,,,1.0,1.0,,,1.0,,,,1.0,,1.0,1.0,1.0,,1.0,1.0,,,1.0,,,,,1.0,,,,1.0,,,1.0,,1.0,,1.0,1.0,1.0,,,,,1.0,,,,,,,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,,,,1.0,,,1.0,1.0,,,,,1.0,,1.0,,,,,,,1.0,1.0,1.0,1.0,1.0,,,1.0,1.0,,,,,1.0,1.0,,1.0,,1.0,,1.0,,1.0,1.0,,,1.0,,1.0,,,1.0,1.0,,1.0,1.0,1.0,,1.0,,,,,,,1.0,,,1.0,,,,,,,1.0,,1.0,,,,,,,,,1.0,1.0,379000,,PLN
Prywatne,,Tak,,BMW-ALPINA,B12,,,1990,127 000 km,3 430 cm3,Benzyna,275 KM,Automatyczna,,Na tylne koła,,,,,,Sedan,5,5,Czarny,,Metalik,,Japonia,,,,,,,,,Tak,,Używane,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,299999,,PLN
